date,ticker,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,time_in_trade,confidence
2025-10-16,O:SPY251017C00667000,3.07,2.7,-12.052117263843648,-1184.0,Hard stop,4.0,0.6525235667764406
2025-10-16,O:SPY251017C00667000,3.21,3.34,4.049844236760125,403.0,Trailing stop,34.0,0.6651512156571675
2025-10-16,O:SPY251017C00667000,2.64,2.53,-4.166666666666678,-407.000000000001,Trailing stop,8.0,0.6885720715223155
2025-10-17,O:SPY251020C00657000,5.71,6.89,20.665499124343256,2006.0,Trailing stop,32.0,0.6581782872348761
2025-10-21,O:SPY251022P00671000,2.36,2.15,-8.898305084745763,-882.0,Trailing stop,9.0,0.6710716940138721
2025-10-21,O:SPY251022C00672000,1.54,1.5,-2.5974025974025974,-256.0,Trailing stop,19.0,0.6804730883974939
2025-10-21,O:SPY251022P00671000,2.29,1.96,-14.41048034934498,-1419.0,Hard stop,7.0,0.664523799834997
2025-10-22,O:SPY251023C00672000,1.77,1.69,-4.519774011299435,-448.0,Trailing stop,17.0,0.6598080751749289
2025-10-22,O:SPY251023P00671000,1.9,3.18,67.36842105263158,6656.0,Trailing stop,50.0,0.6604753153106637
2025-10-22,O:SPY251023C00672000,0.95,1.04,9.473684210526317,945.0,Trailing stop,20.0,0.6897024940567036
2025-10-23,O:SPY251024C00669000,2.6,3.23,24.23076923076923,2394.0,Trailing stop,26.0,0.6752401936777881
2025-10-23,O:SPY251024C00669000,2.92,2.44,-16.43835616438356,-1632.0,Hard stop,4.0,0.6509301335030436
2025-10-23,O:SPY251024P00668000,2.5,2.0,-20.0,-2000.0,Hard stop,4.0,0.659115622684611
2025-10-24,O:SPY251027C00674000,4.18,3.97,-5.023923444976076,-483.0,Trailing stop,20.0,0.6533120679185322
2025-10-24,O:SPY251027C00674000,3.99,4.53,13.533834586466165,1350.0,Trailing stop,63.0,0.6570312647099005
2025-10-27,O:SPY251028C00683000,1.53,1.46,-4.57516339869281,-455.0,Trailing stop,28.0,0.66145658391102
2025-10-27,O:SPY251028C00683000,1.5,2.01,33.99999999999998,3365.999999999998,Time limit,119.0,0.6528532914971642
2025-10-28,O:SPY251029C00685000,2.77,3.78,36.462093862815884,3636.0,Time limit,119.0,0.6539661916344951
2025-10-29,O:SPY251030C00689000,3.1,3.41,10.0,992.0,Trailing stop,48.0,0.6622140449330072
2025-10-29,O:SPY251030C00689000,2.87,2.81,-2.0905923344947737,-204.0,Trailing stop,113.0,0.6534918498037414
2025-10-29,O:SPY251030P00688000,3.3,3.0,-9.090909090909092,-900.0,Trailing stop,29.0,0.6534808148890606
2025-10-30,O:SPY251031C00688000,1.15,1.52,32.17391304347827,3182.0000000000014,Trailing stop,18.0,0.6715674528841854
2025-10-30,O:SPY251031P00687000,3.95,4.12,4.30379746835443,425.0,Trailing stop,31.0,0.7132556788867094
2025-10-30,O:SPY251031C00688000,1.45,1.24,-14.482758620689657,-1428.0,Hard stop,3.0,0.687784707090079
2025-10-31,O:SPY251103P00685000,3.43,3.47,1.1661807580174928,116.0,Trailing stop,29.0,0.6635568673620594
2025-10-31,O:SPY251103C00686000,1.51,1.54,1.9867549668874174,198.0,Trailing stop,56.0,0.6779003804989707
2025-10-31,O:SPY251103P00685000,3.01,4.27,41.86046511627905,4157.999999999998,Trailing stop,55.0,0.669640255454541
2025-11-18,O:SPY251119C00664000,2.31,2.03,-12.121212121212134,-1204.0000000000011,Hard stop,2.0,0.6566760547698961
2025-11-18,O:SPY251119C00664000,1.8,2.69,49.44444444444444,4895.0,Trailing stop,40.0,0.6571402225047703
2025-11-18,O:SPY251119C00664000,1.98,3.64,83.83838383838383,8300.0,Trailing stop,74.0,0.6837160671482835
2025-11-19,O:SPY251120C00661000,5.16,7.37,42.82945736434108,4199.0,Trailing stop,60.0,0.6613597937120812
2025-11-20,O:SPY251121C00671000,1.1,0.96,-12.727272727272739,-1260.0000000000014,Hard stop,8.0,0.6599870433231415
2025-11-20,O:SPY251121C00671000,0.96,0.79,-17.708333333333336,-1768.0,Hard stop,6.0,0.6549113930172842
2025-11-20,O:SPY251121C00671000,0.75,0.64,-14.666666666666666,-1463.0,Hard stop,7.0,0.6666462031459445
2025-11-21,O:SPY251124C00655000,5.2,4.77,-8.26923076923078,-817.0000000000011,Trailing stop,14.0,0.6563512050975014
2025-11-21,O:SPY251124C00655000,4.68,4.11,-12.179487179487166,-1196.9999999999989,Hard stop,9.0,0.6613215352273392
2025-11-21,O:SPY251124C00655000,3.67,3.75,2.17983651226158,216.0,Trailing stop,21.0,0.6667721290190904
2025-11-24,O:SPY251125C00663000,4.72,4.26,-9.745762711864407,-966.0,Trailing stop,7.0,0.6675667890708658
2025-11-24,O:SPY251125P00662000,3.24,3.04,-6.172839506172839,-600.0,Trailing stop,7.0,0.679133867231378
2025-11-24,O:SPY251125P00662000,3.04,2.79,-8.223684210526317,-800.0,Trailing stop,6.0,0.687579492082072
2025-12-02,O:SPY251203P00680000,2.26,2.19,-3.0973451327433508,-307.99999999999875,Trailing stop,11.0,0.6547434790807801
2025-12-03,O:SPY251204C00684000,1.02,1.09,6.86274509803923,686.0000000000014,Trailing stop,17.0,0.685232062467755
2025-12-03,O:SPY251204P00683000,3.61,3.58,-0.8310249307479225,-81.0,Trailing stop,9.0,0.6532164175483292
2025-12-03,O:SPY251204C00684000,1.1,1.34,21.818181818181802,2159.9999999999986,Trailing stop,24.0,0.6521989979917088
2025-12-04,O:SPY251205P00683000,2.26,1.97,-12.831858407079636,-1275.9999999999986,Hard stop,4.0,0.6501089939912289
2025-12-04,O:SPY251205P00683000,2.48,2.16,-12.903225806451612,-1280.0,Hard stop,2.0,0.656455443061087
2025-12-04,O:SPY251205C00684000,1.99,1.77,-11.055276381909549,-1100.0,Trailing stop,52.0,0.655275256846445
2025-12-05,O:SPY251208P00685000,1.86,1.65,-11.29032258064516,-1113.0,Trailing stop,14.0,0.652711783765886
2025-12-05,O:SPY251208P00685000,1.76,1.85,5.113636363636364,504.0,Trailing stop,36.0,0.6525554506050301
2025-12-08,O:SPY251209C00687000,0.4,0.35,-12.5,-1250.0,Hard stop,17.0,0.6571565746832477
2025-12-08,O:SPY251209C00687000,0.28,0.28,0.0,0.0,Trailing stop,55.0,0.7504710610959675
2025-12-08,O:SPY251209C00687000,0.29,0.26,-10.344827586206886,-1031.9999999999989,Trailing stop,31.0,0.7767439802377991
2025-12-10,O:SPY251211C00684000,2.57,2.4,-6.614785992217899,-646.0,Trailing stop,58.0,0.6529529170891867
2025-12-10,O:SPY251211C00684000,2.93,3.23,10.238907849829351,1020.0,Trailing stop,21.0,0.6502443487598799
2025-12-10,O:SPY251211P00683000,2.4,2.2,-8.333333333333321,-819.9999999999989,Trailing stop,5.0,0.6598996601377001
2025-12-11,O:SPY251212P00683000,1.33,1.25,-6.015037593984962,-600.0,Trailing stop,22.0,0.6596751981888352
2025-12-11,O:SPY251212P00683000,1.37,1.34,-2.18978102189781,-216.0,Trailing stop,7.0,0.6532587364372886
2025-12-11,O:SPY251212P00683000,0.37,0.38,2.7027027027027026,270.0,Trailing stop,35.0,0.6594130458352343
2025-12-12,O:SPY251215C00689000,0.69,0.62,-10.144927536231885,-1008.0,Trailing stop,17.0,0.6641991206136979
2025-12-12,O:SPY251215P00688000,6.35,7.19,13.228346456692913,1260.0,Trailing stop,54.0,0.6569618504066872
2025-12-12,O:SPY251215C00689000,0.13,0.11,-15.384615384615385,-1538.0,Hard stop,15.0,0.6645206931645676
2025-12-15,O:SPY251216C00685000,1.02,1.01,-0.9803921568627451,-98.0,Trailing stop,6.0,0.687248203763502
2025-12-15,O:SPY251216C00685000,1.15,1.01,-12.173913043478251,-1203.9999999999989,Hard stop,3.0,0.6638082626517591
2025-12-15,O:SPY251216C00685000,1.14,1.06,-7.017543859649111,-695.9999999999987,Trailing stop,12.0,0.669463464070136
2025-12-17,O:SPY251218C00680000,1.06,0.92,-13.20754716981132,-1316.0,Hard stop,12.0,0.6655498874284941
2025-12-17,O:SPY251218C00680000,0.91,0.85,-6.593406593406594,-654.0,Trailing stop,13.0,0.6528880123542461
2025-12-17,O:SPY251218C00680000,0.8,0.74,-7.5,-750.0,Trailing stop,10.0,0.6610532155903779
2025-12-19,O:SPY251222C00677000,2.92,3.74,28.08219178082192,2788.0,Trailing stop,50.0,0.7212606248595649
2025-12-23,O:SPY251224C00685000,1.58,1.43,-9.49367088607595,-945.0,Trailing stop,2.0,0.6553709352816732
2025-12-23,O:SPY251224C00685000,1.43,1.74,21.678321678321677,2139.0,Trailing stop,22.0,0.6536627082385726
