date,ticker,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,time_in_trade,confidence,regime
2025-09-24,O:SPY250925P00663000,1.98,1.82,-8.080808080808081,-800.0,Hard stop,3.0,0.6877130385068496,1
2025-09-24,O:SPY250925P00663000,2.98,3.23,8.389261744966444,825.0,Trailing stop,29.0,0.650244744324799,1
2025-09-25,O:SPY250926P00661000,5.74,5.1,-11.149825783972135,-1088.000000000001,Hard stop,9.0,0.6768015012696487,1
2025-09-25,O:SPY250926P00661000,3.06,3.03,-0.9803921568627451,-96.0,Trailing stop,31.0,0.6637117391390694,1
2025-09-25,O:SPY250926P00661000,6.0,5.31,-11.5,-1104.0,Hard stop,11.0,0.6731023067021057,1
2025-09-26,O:SPY250929P00657000,1.4,1.27,-9.285714285714286,-923.0,Hard stop,2.0,0.6705833543027605,1
2025-09-26,O:SPY250929P00657000,1.27,1.65,29.92125984251969,2964.0,Trailing stop,17.0,0.6699079684515672,1
2025-09-26,O:SPY250929P00657000,1.78,1.43,-19.662921348314608,-1960.0,Hard stop,5.0,0.669173519804514,3
2025-09-29,O:SPY250930P00664000,1.5,1.74,16.0,1584.0,Trailing stop,24.0,0.6560536761499671,1
2025-09-30,O:SPY251001P00662000,1.61,1.73,7.453416149068323,744.0,Trailing stop,11.0,0.651076356579238,1
2025-09-30,O:SPY251001P00662000,1.5,1.64,9.333333333333334,924.0,Trailing stop,16.0,0.6519553422083164,1
2025-10-01,O:SPY251002C00662000,2.99,3.75,25.418060200668897,2508.0,Trailing stop,16.0,0.6672199414951284,3
2025-10-01,O:SPY251002P00661000,1.14,1.01,-11.403508771929813,-1130.9999999999989,Hard stop,8.0,0.6832009351326814,1
2025-10-01,O:SPY251002C00662000,3.65,7.12,95.06849315068493,9369.0,Time limit,119.0,0.6646237944475626,0
2025-10-02,O:SPY251003C00670000,1.4,1.32,-5.714285714285714,-568.0,Early loss exit,4.0,0.6581044910178208,0
2025-10-02,O:SPY251003C00670000,1.1,0.96,-12.727272727272739,-1260.0000000000014,Hard stop,7.0,0.6559296567843048,1
2025-10-02,O:SPY251003C00670000,1.02,0.87,-14.705882352941178,-1470.0,Hard stop,25.0,0.6619374876043871,0
2025-10-03,O:SPY251006C00672000,1.11,1.27,14.4144144144144,1439.9999999999986,Trailing stop,11.0,0.6536360655462643,3
2025-10-03,O:SPY251006C00672000,1.63,1.42,-12.883435582822086,-1281.0,Hard stop,33.0,0.6694273457753376,1
2025-10-03,O:SPY251006C00672000,1.53,1.64,7.18954248366013,715.0,Trailing stop,64.0,0.6552752077838419,0
2025-10-06,O:SPY251007C00671000,1.22,1.34,9.836065573770492,972.0,Momentum exhaustion,11.0,0.670098307201381,1
2025-10-06,O:SPY251007C00671000,1.34,1.41,5.223880597014925,518.0,Momentum exhaustion,17.0,0.6520619769775728,0
2025-10-06,O:SPY251007C00671000,1.47,1.69,14.965986394557824,1496.0,Trailing stop,82.0,0.659169839212708,0
2025-10-07,O:SPY251008P00670000,0.82,0.77,-6.097560975609756,-605.0,Early loss exit,5.0,0.6560367421103429,1
