date,ticker,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,time_in_trade,confidence
2025-09-25,O:SPY250926P00661000,6.19,5.38,-13.08562197092084,-1296.0,Hard stop,3.0,0.659064619212899
2025-09-25,O:SPY250926P00661000,5.49,5.64,2.73224043715847,270.0,Momentum exhaustion,5.0,0.6920557621853405
2025-10-01,O:SPY251002C00662000,3.6,4.1,13.888888888888873,1349.9999999999984,Momentum exhaustion,13.0,0.679397348742874
2025-10-01,O:SPY251002P00661000,1.19,1.03,-13.445378151260504,-1344.0,Hard stop,4.0,0.6760684159825984
2025-10-01,O:SPY251002P00661000,1.03,0.89,-13.592233009708737,-1358.0,Hard stop,9.0,0.6557996104158362
2025-10-02,O:SPY251003P00669000,1.16,1.61,38.79310344827588,3870.0000000000014,Momentum exhaustion,9.0,0.6507357204127568
2025-10-02,O:SPY251003P00669000,1.95,1.97,1.0256410256410255,102.0,Momentum exhaustion,14.0,0.6638354112925434
2025-10-02,O:SPY251003C00670000,1.4,1.22,-12.857142857142856,-1278.0,Hard stop,5.0,0.6665240865443027
2025-10-03,O:SPY251006P00671000,1.95,1.99,2.051282051282051,204.0,Momentum exhaustion,7.0,0.6619192465459873
2025-10-03,O:SPY251006C00672000,1.3,1.46,12.307692307692308,1216.0,Momentum exhaustion,8.0,0.6503243156330369
2025-10-03,O:SPY251006C00672000,1.63,1.54,-5.521472392638037,-549.0,Early loss exit,10.0,0.6513880666524144
2025-10-06,O:SPY251007P00670000,1.57,1.68,7.006369426751593,693.0,Momentum exhaustion,10.0,0.6571762479385442
2025-10-06,O:SPY251007C00671000,1.22,1.41,15.573770491803279,1539.0,Momentum exhaustion,30.0,0.6780489130340842
2025-10-06,O:SPY251007C00671000,1.41,1.33,-5.673758865248227,-560.0,Early loss exit,9.0,0.6883456845796866
2025-10-07,O:SPY251008C00671000,1.76,1.68,-4.545454545454546,-448.0,Early loss exit,6.0,0.653892535999599
2025-10-07,O:SPY251008C00671000,1.68,1.4,-16.666666666666664,-1652.0,Hard stop,15.0,0.6507275603115086
2025-10-07,O:SPY251008C00671000,1.25,1.13,-9.600000000000012,-960.0000000000011,Early loss exit,16.0,0.661913344122604
2025-10-08,O:SPY251009C00671000,1.58,2.17,37.34177215189873,3717.0,Momentum exhaustion,21.0,0.6633990389502095
2025-10-08,O:SPY251009C00671000,2.21,2.23,0.904977375565611,90.0,Momentum exhaustion,10.0,0.660315159275538
2025-10-09,O:SPY251010P00673000,1.4,2.05,46.42857142857141,4614.999999999998,Momentum exhaustion,20.0,0.6539193322361698
2025-10-09,O:SPY251010C00674000,1.05,0.91,-13.333333333333334,-1330.0,Hard stop,4.0,0.6678517268104405
2025-10-09,O:SPY251010P00673000,2.38,2.03,-14.705882352941188,-1470.0000000000011,Hard stop,5.0,0.6657240871947568
2025-10-10,O:SPY251013P00671000,1.28,1.32,3.125,312.0,Momentum exhaustion,9.0,0.6548187938404028
2025-10-10,O:SPY251013P00671000,1.27,1.21,-4.724409448818897,-468.0,Early loss exit,6.0,0.6507430586356121
2025-10-10,O:SPY251013P00671000,1.21,12.18,906.6115702479339,89954.0,Time limit,119.0,0.6569336002227505
2025-10-13,O:SPY251014C00662000,2.69,2.66,-1.1152416356877324,-111.0,Momentum exhaustion,11.0,0.6651460861124744
2025-10-13,O:SPY251014C00662000,2.99,3.43,14.715719063545151,1452.0,Momentum exhaustion,13.0,0.6502665705071401
2025-10-13,O:SPY251014C00662000,3.26,2.81,-13.803680981595093,-1350.0,Hard stop,3.0,0.6589480803690321
2025-10-14,O:SPY251015P00659000,4.63,5.75,24.190064794816415,2352.0,Momentum exhaustion,9.0,0.6964657744707835
2025-10-14,O:SPY251015P00659000,5.82,6.37,9.450171821305842,935.0,Momentum exhaustion,6.0,0.6660198466265089
2025-10-14,O:SPY251015C00660000,1.48,1.88,27.027027027027028,2680.0,Momentum exhaustion,9.0,0.6505593848186992
